Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
SRR1177981_1	56.072974325	101.0	14229351.0	30.0	48.0
SRR1177981_2	48.3617486446	101.0	14229351.0	20.0	48.0
SRR1177982_1	58.5238161555	101.0	17168681.0	30.0	48.0
SRR1177982_2	54.3284904168	101.0	17168681.0	30.0	48.0
SRR1177983_1	57.6102731749	101.0	16152281.0	30.0	48.0
SRR1177983_2	50.0442055714	101.0	16152281.0	30.0	48.0
SRR1178004_1	61.0999160365	101.0	19622049.0	27.2727272727	48.0
SRR1178004_2	60.4508628553	101.0	19622049.0	36.3636363636	48.0
SRR1178006_1	59.209196894	101.0	21488758.0	27.2727272727	49.0
SRR1178006_2	58.0978921463	101.0	21488758.0	27.2727272727	49.0
SRR1178008_1	56.1524015532	101.0	15156072.0	30.0	49.0
SRR1178008_2	54.4274531369	101.0	15156072.0	20.0	49.0
SRR1178009_1	62.2085745233	101.0	18110504.0	30.0	49.0
SRR1178009_2	60.1153139973	101.0	18110504.0	30.0	49.0
SRR1178010_1	62.4532988398	101.0	18572519.0	30.0	49.0
SRR1178010_2	61.3827577882	101.0	18572519.0	30.0	49.0
SRR1178013_1	58.3501387127	101.0	16094612.0	30.0	49.0
SRR1178013_2	57.0458647173	101.0	16094612.0	20.0	49.0
SRR1178014_1	53.9275841492	50.0	17524782.0	20.0	49.0
SRR1178014_2	51.8563199784	50.0	17524782.0	20.0	49.0
SRR1178021_1	48.7061322875	100.0	17497925.0	20.0	49.0
SRR1178021_2	46.4398998631	100.0	17497925.0	20.0	49.0
SRR1178047_1	48.4901204535	100.0	17093302.0	20.0	49.0
SRR1178047_2	47.2918638523	100.0	17093302.0	20.0	49.0
SRR1178050_1	54.6183580893	100.0	16086619.0	30.0	48.0
SRR1178050_2	53.1170944828	100.0	16086619.0	30.0	49.0
SRR1178061_1	69.0883607629	101.0	63267355.0	20.0	49.0
SRR1178061_2	68.5920474363	101.0	63267355.0	20.0	49.0
SRR1178063_1	64.7963246163	101.0	44533567.0	30.0	49.0
SRR1178063_2	62.3083660031	101.0	44533567.0	20.0	49.0
